date,buy_price,sell_price
2010-06-15,27930,27990
2010-06-16,28100,28160
2010-06-17,28070,28130
2010-06-18,28270,28330
2010-06-19,28450,28520
2010-06-20,28450,28520
2010-06-21,28600,28670
2010-06-22,28260,28320
2010-06-23,28390,28450
2010-06-24,28350,28400
2010-06-25,28470,28530
2010-06-26,28600,28660
2010-06-27,28600,28660
2010-06-28,28630,28680
2010-06-29,28440,28500
2010-06-30,28550,28600
2010-07-01,28530,28580
2010-07-02,28290,28360
2010-07-03,28300,28350
2010-07-04,28300,28350
2010-07-05,28280,28340
2010-07-06,28300,28350
2010-07-07,28120,28180
2010-07-08,28240,28290
2010-07-09,28170,28220
2010-07-10,28270,28330
2010-07-11,28270,28330
2010-07-12,28180,28240
2010-07-13,28190,28250
2010-07-14,28200,28260
2010-07-15,28210,28260
2010-07-16,28160,28220
2010-07-17,28060,28130
2010-07-18,28060,28130
2010-07-19,28060,28110
2010-07-20,27920,27980
2010-07-21,27990,28040
2010-07-22,27960,28010
2010-07-23,28060,28110
2010-07-24,27980,28040
2010-07-25,27980,28040
2010-07-26,27980,28030
2010-07-27,27930,27990
2010-07-28,27670,27720
2010-07-29,27630,27680
2010-07-30,27630,27680
2010-07-31,27710,27770
2010-08-01,27710,27770
2010-08-02,27730,27780
2010-08-03,27740,27790
2010-08-04,27920,27970
2010-08-05,27980,28020
2010-08-06,27990,28030
2010-08-07,28100,28150
2010-08-08,28100,28150
2010-08-09,28130,28170
2010-08-10,28050,28080
2010-08-11,28020,28060
2010-08-12,28000,28040
2010-08-13,28150,28190
2010-08-14,28130,28170
2010-08-15,28130,28170
2010-08-16,28250,28290
2010-08-17,28420,28460
2010-08-18,28520,28560
2010-08-19,28730,28770
2010-08-20,28780,28820
2010-08-21,28700,28750
2010-08-22,28700,28750
2010-08-23,28720,28760
2010-08-24,28560,28600
2010-08-25,28870,28910
2010-08-26,28990,29030
2010-08-27,28920,28960
2010-08-28,28940,28980
2010-08-29,28940,28980
2010-08-30,28920,28960
2010-08-31,28910,28950
2010-09-01,29200,29240
2010-09-02,29150,29190
2010-09-03,29250,29300
2010-09-04,29200,29240
2010-09-05,29200,29240
2010-09-06,29220,29260
2010-09-07,29210,29250
2010-09-08,29450,29490
2010-09-09,29370,29410
2010-09-10,29260,29300
2010-09-11,29250,29290
2010-09-12,29250,29290
2010-09-13,29230,29270
2010-09-14,29330,29370
2010-09-15,29720,29760
2010-09-16,29700,29740
2010-09-17,29960,30000
2010-09-18,29860,29900
2010-09-19,29860,29900
2010-09-20,30000,30040
2010-09-21,30040,30080
2010-09-22,30250,30290
2010-09-23,30290,30330
2010-09-24,30420,30460
2010-09-25,30420,30460
2010-09-26,30420,30460
2010-09-27,30680,30720
2010-09-28,30570,30610
2010-09-29,31150,31200
2010-09-30,31210,31250
2010-10-01,31280,31340
2010-10-02,31430,31480
2010-10-03,31430,31480
2010-10-04,31540,31580
2010-10-05,31700,31750
2010-10-06,32700,32800
2010-10-07,32770,32830
2010-10-08,32000,32100
2010-10-09,32320,32420
2010-10-10,32320,32420
2010-10-11,32500,32570
2010-10-12,32430,32490
2010-10-13,32660,32720
2010-10-14,33080,33140
2010-10-15,33150,33210
2010-10-16,33100,33150
2010-10-17,33100,33150
2010-10-18,33090,33150
2010-10-19,33300,33360
2010-10-20,32920,32970
2010-10-21,33050,33100
2010-10-22,32670,32740
2010-10-23,32770,32830
2010-10-24,32770,32830
2010-10-25,32910,32960
2010-10-26,32840,32890
2010-10-27,32830,32880
2010-10-28,32800,32850
2010-10-29,32980,33030
2010-10-30,33350,33400
2010-10-31,33350,33400
2010-11-01,33500,33550
2010-11-02,33670,33730
2010-11-03,33750,33800
2010-11-04,34080,34180
2010-11-05,34750,34900
2010-11-06,35100,35200
2010-11-07,35100,35200
2010-11-08,35660,35750
2010-11-09,36500,36700
2010-11-10,36400,36550
2010-11-11,36150,36300
2010-11-12,35750,35850
2010-11-13,34900,35100
2010-11-14,34900,35100
2010-11-15,34920,35000
2010-11-16,34890,34940
2010-11-17,34370,34440
2010-11-18,35450,35550
2010-11-19,35550,35650
2010-11-20,35450,35550
2010-11-21,35450,35550
2010-11-22,35650,35710
2010-11-23,35620,35670
2010-11-24,35850,35950
2010-11-25,35730,35780
2010-11-26,35700,35770
2010-11-27,35670,35710
2010-11-28,35670,35710
2010-11-29,35730,35780
2010-11-30,35880,35950
2010-12-01,36250,36330
2010-12-02,36200,36270
2010-12-03,36100,36160
2010-12-04,36400,36500
2010-12-05,36400,36500
2010-12-06,36510,36580
2010-12-07,36500,36570
2010-12-08,35840,35920
2010-12-09,35730,35790
2010-12-10,35800,35860
2010-12-11,35770,35840
2010-12-12,35770,35840
2010-12-13,36020,36100
2010-12-14,36160,36220
2010-12-15,35860,35940
2010-12-16,35860,35920
2010-12-17,35750,35800
2010-12-18,35820,35900
2010-12-19,35820,35900
2010-12-20,35830,35900
2010-12-21,35770,35840
2010-12-22,35790,35850
2010-12-23,35750,35810
2010-12-24,35750,35810
2010-12-25,35780,35850
2010-12-26,35780,35850
2010-12-27,35750,35810
2010-12-28,35830,35900
2010-12-29,35960,36020
2010-12-30,36040,36100
2010-12-31,35900,36000
2011-01-01,35900,36000
2011-01-02,35900,36000
2011-01-03,35900,36000
2011-01-04,36080,36140
2011-01-05,35790,35860
2011-01-06,35760,35830
2011-01-07,35400,35450
2011-01-08,35400,35450
2011-01-09,35400,35450
2011-01-10,35650,35710
2011-01-11,35730,35790
2011-01-12,35780,35840
2011-01-13,35700,35760
2011-01-14,35570,35630
2011-01-15,35530,35600
2011-01-16,35530,35600
2011-01-17,35480,35550
2011-01-18,35570,35640
2011-01-19,35600,35660
2011-01-20,35500,35560
2011-01-21,35200,35260
2011-01-22,35200,35260
2011-01-23,35200,35260
2011-01-24,35310,35370
2011-01-25,35030,35090
2011-01-26,35110,35180
2011-01-27,35260,35320
2011-01-28,35070,35140
2011-01-29,35340,35400
2011-01-30,35450,35540
2011-01-31,35450,35540
2011-02-01,35450,35540
2011-02-02,35450,35540
2011-02-03,35450,35540
2011-02-04,35450,35540
2011-02-05,35450,35540
2011-02-06,35450,35540
2011-02-07,35450,35540
2011-02-08,35800,35900
2011-02-09,35870,35930
2011-02-10,35740,35810
2011-02-11,35900,35960
2011-02-12,35910,35980
2011-02-13,35910,35980
2011-02-14,36060,36130
2011-02-15,36350,36430
2011-02-16,36670,36750
2011-02-17,36880,36950
2011-02-18,37480,37580
2011-02-19,38000,38200
2011-02-20,38000,38200
2011-02-21,37780,37850
2011-02-22,37700,37800
2011-02-23,37550,37610
2011-02-24,37750,37830
2011-02-25,37600,37680
2011-02-26,37640,37710
2011-02-27,37640,37710
2011-02-28,37520,37590
2011-03-01,37300,37380
2011-03-02,37600,37700
2011-03-03,37670,37750
2011-03-04,37560,37640
2011-03-05,37660,37740
2011-03-06,37660,37740
2011-03-07,37650,37730
2011-03-08,37570,37630
2011-03-09,37470,37550
2011-03-10,37370,37450
2011-03-11,36850,36950
2011-03-12,36950,37050
2011-03-13,36950,37050
2011-03-14,37220,37300
2011-03-15,37050,37150
2011-03-16,36880,36950
2011-03-17,36900,36980
2011-03-18,37080,37150
2011-03-19,37070,37140
2011-03-20,37070,37140
2011-03-21,37120,37190
2011-03-22,37050,37120
2011-03-23,36970,37050
2011-03-24,36970,37040
2011-03-25,36920,36990
2011-03-26,36920,36990
2011-03-27,36920,36990
2011-03-28,36680,36730
2011-03-29,36450,36510
2011-03-30,36550,36620
2011-03-31,36850,36930
2011-04-01,36910,36980
2011-04-02,36820,36890
2011-04-03,36820,36890
2011-04-04,36690,36760
2011-04-05,36640,36710
2011-04-06,36850,36920
2011-04-07,36860,36940
2011-04-08,37120,37200
2011-04-09,37250,37330
2011-04-10,37250,37330
2011-04-11,37250,37330
2011-04-12,37250,37330
2011-04-13,36970,37050
2011-04-14,36980,37050
2011-04-15,37120,37190
2011-04-16,37220,37300
2011-04-17,37220,37300
2011-04-18,37190,37260
2011-04-19,37300,37370
2011-04-20,37500,37560
2011-04-21,37610,37680
2011-04-22,37520,37580
2011-04-23,37500,37570
2011-04-24,37500,37570
2011-04-25,37570,37630
2011-04-26,37420,37480
2011-04-27,37410,37480
2011-04-28,37570,37640
2011-04-29,37720,37790
2011-04-30,37720,37790
2011-05-01,37720,37790
2011-05-02,37720,37790
2011-05-03,37720,37790
2011-05-04,37910,37980
2011-05-05,37650,37730
2011-05-06,37300,37380
2011-05-07,37430,37500
2011-05-08,37430,37500
2011-05-09,37550,37630
2011-05-10,37560,37640
2011-05-11,37600,37670
2011-05-12,37300,37370
2011-05-13,37450,37520
2011-05-14,37370,37450
2011-05-15,37370,37450
2011-05-16,37310,37380
2011-05-17,37340,37410
2011-05-18,37320,37390
2011-05-19,37310,37370
2011-05-20,37350,37430
2011-05-21,37440,37510
2011-05-22,37440,37510
2011-05-23,37400,37470
2011-05-24,37490,37550
2011-05-25,37610,37670
2011-05-26,37530,37600
2011-05-27,37540,37610
2011-05-28,37640,37710
2011-05-29,37640,37710
2011-05-30,37690,37760
2011-05-31,37800,37870
2011-06-01,37680,37750
2011-06-02,37810,37880
2011-06-03,37710,37780
2011-06-04,37790,37860
2011-06-05,37790,37860
2011-06-06,37960,38020
2011-06-07,38000,38070
2011-06-08,37860,37930
2011-06-09,37810,37880
2011-06-10,37950,38010
2011-06-11,37820,37870
2011-06-12,37820,37870
2011-06-13,37730,37810
2011-06-14,37680,37740
2011-06-15,37690,37750
2011-06-16,37780,37840
2011-06-17,37850,37910
2011-06-18,38020,38080
2011-06-19,38020,38080
2011-06-20,38030,38090
2011-06-21,38070,38130
2011-06-22,38100,38160
2011-06-23,38050,38120
2011-06-24,37820,37890
2011-06-25,37610,37690
2011-06-26,37610,37690
2011-06-27,37660,37730
2011-06-28,37630,37690
2011-06-29,37730,37790
2011-06-30,37750,37810
2011-07-01,37570,37650
2011-07-02,37580,37640
2011-07-03,37580,37640
2011-07-04,37560,37620
2011-07-05,37540,37600
2011-07-06,37680,37740
2011-07-07,37780,37840
2011-07-08,37760,37820
2011-07-09,37920,37980
2011-07-10,37920,37980
2011-07-11,38020,38080
2011-07-12,38080,38150
2011-07-13,38580,38650
2011-07-14,38960,39030
2011-07-15,38850,38920
2011-07-16,39040,39100
2011-07-17,39040,39100
2011-07-18,39360,39420
2011-07-19,39570,39640
2011-07-20,39200,39270
2011-07-21,39460,39530
2011-07-22,39260,39320
2011-07-23,39420,39490
2011-07-24,39420,39490
2011-07-25,39840,39900
2011-07-26,39750,39810
2011-07-27,39980,40050
2011-07-28,39910,39970
2011-07-29,39940,40000
2011-07-30,40060,40160
2011-07-31,40060,40160
2011-08-01,39860,39920
2011-08-02,40070,40130
2011-08-03,41100,41200
2011-08-04,41270,41350
2011-08-05,41430,41500
2011-08-06,41700,41800
2011-08-07,41700,41800
2011-08-08,43600,44100
2011-08-09,45000,45600
2011-08-10,43900,44400
2011-08-11,45000,45500
2011-08-12,44500,44750
2011-08-13,44250,44550
2011-08-14,44250,44550
2011-08-15,44000,44150
2011-08-16,44800,45000
2011-08-17,45300,45500
2011-08-18,45350,45550
2011-08-19,47000,47250
2011-08-20,46800,47150
2011-08-21,46800,47150
2011-08-22,48150,48350
2011-08-23,48150,48450
2011-08-24,47250,47450
2011-08-25,44400,44800
2011-08-26,46450,46950
2011-08-27,47500,47800
2011-08-28,47500,47800
2011-08-29,46650,46950
2011-08-30,45900,46200
2011-08-31,46630,46930
2011-09-01,46350,46650
2011-09-02,46350,46650
2011-09-03,47800,48100
2011-09-04,47800,48100
2011-09-05,47700,47900
2011-09-06,47600,47900
2011-09-07,46930,47230
2011-09-08,46850,47150
2011-09-09,47450,47650
2011-09-10,47300,47500
2011-09-11,47300,47500
2011-09-12,47250,47450
2011-09-13,46920,47120
2011-09-14,47100,47300
2011-09-15,47000,47200
2011-09-16,46450,46650
2011-09-17,47050,47250
2011-09-18,47050,47250
2011-09-19,46750,47050
2011-09-20,46800,46950
2011-09-21,47020,47100
2011-09-22,46650,46800
2011-09-23,46450,46650
2011-09-24,45350,45750
2011-09-25,45350,45750
2011-09-26,44800,45500
2011-09-27,45250,45650
2011-09-28,44300,44700
2011-09-29,43900,44200
2011-09-30,44000,44200
2011-10-01,44050,44250
2011-10-02,44050,44250
2011-10-03,44380,44530
2011-10-04,45000,45200
2011-10-05,44150,44350
2011-10-06,43650,44050
2011-10-07,43050,43450
2011-10-08,43000,43400
2011-10-09,43000,43400
2011-10-10,42890,43290
2011-10-11,43400,43700
