date,buy_price,sell_price
2017-01-10,36340,36610
2017-01-11,36350,36620
2017-01-12,36480,36800
2017-01-13,36400,36700
2017-01-14,36450,36760
2017-01-15,36450,36760
2017-01-16,36480,36750
2017-01-17,36480,36750
2017-01-18,36450,36730
2017-01-19,36360,36630
2017-01-20,36360,36650
2017-01-21,36400,36700
2017-01-22,36400,36700
2017-01-23,36500,36830
2017-01-24,36580,36930
2017-01-25,36550,36950
2017-01-26,36550,36950
2017-01-27,36550,36950
2017-01-28,36550,36950
2017-01-29,36550,36950
2017-01-30,36550,36950
2017-01-31,36550,36950
2017-02-01,36600,37100
2017-02-02,37450,37850
2017-02-03,37350,37750
2017-02-04,37300,37700
2017-02-05,37300,37700
2017-02-06,36400,37200
2017-02-07,36550,36950
2017-02-08,36780,37080
2017-02-09,36970,37270
2017-02-10,36720,37020
2017-02-11,36750,37080
2017-02-12,36750,37080
2017-02-13,36670,36970
2017-02-14,36670,36970
2017-02-15,36670,36970
2017-02-16,36770,37070
2017-02-17,36720,37020
2017-02-18,36780,37050
2017-02-19,36780,37050
2017-02-20,36700,36970
2017-02-21,36650,36930
2017-02-22,36700,36950
2017-02-23,36700,36950
2017-02-24,36770,37030
2017-02-25,36750,37050
2017-02-26,36750,37050
2017-02-27,36700,36950
2017-02-28,36650,36900
2017-03-01,36670,36930
2017-03-02,36700,36940
2017-03-03,36600,36820
2017-03-04,36670,36920
2017-03-05,36670,36920
2017-03-06,36600,36830
2017-03-07,36520,36760
2017-03-08,36450,36650
2017-03-09,36390,36610
2017-03-10,36360,36580
2017-03-11,36450,36680
2017-03-12,36450,36680
2017-03-13,36480,36700
2017-03-14,36470,36690
2017-03-15,36450,36680
2017-03-16,36620,36840
2017-03-17,36700,36820
2017-03-18,36600,36800
2017-03-19,36600,36800
2017-03-20,36540,36770
2017-03-21,36450,36650
2017-03-22,36550,36700
2017-03-23,36460,36640
2017-03-24,36450,36640
2017-03-25,36450,36670
2017-03-26,36450,36670
2017-03-27,36480,36650
2017-03-28,36460,36640
2017-03-29,36430,36610
2017-03-30,36420,36600
2017-03-31,36350,36530
2017-04-01,36370,36550
2017-04-02,36370,36550
2017-04-03,36320,36500
2017-04-04,36390,36570
2017-04-05,36360,36540
2017-04-06,36360,36560
2017-04-07,36400,36580
2017-04-08,36390,36580
